ID,NUMERO_IDENTIFICADOR,NOMBRE_ESTANDARIZADO,MARCA_ESTANDARIZADA
290,21001218,AUTOMOVIL,PORSCHE
291,21029457,AUTOMOVIL,PORSCHE
292,20988217,AUTOMOVIL,BMW
293,21003108,AUTOMOVIL,BMW
294,21002664,AUTOMOVIL,BMW
295,21015061,AUTOMOVIL,BMW
296,20957987,AUTOMOVIL,BMW
297,20951496,AUTOMOVIL,BMW
298,20981420,AUTOMOVIL,BMW
299,20978591,AUTOMOVIL,BMW
300,21012363,AUTOMOVIL,BMW
301,21025345,AUTOMOVIL,BMW
302,20995235,AUTOMOVIL,BMW
303,21027997,AUTOMOVIL,BMW
304,20965314,AUTOMOVIL,BMW
305,21031258,MAQUINA INDUSTRIAL,NO ESPECIFICADA
306,20955236,MAQUINA INDUSTRIAL,NO ESPECIFICADA
307,20990466,AUTOMOVIL,BMW
308,21024538,AUTOMOVIL,BMW
309,21012732,AUTOMOVIL,BMW
310,20984450,AUTOMOVIL,BMW
311,20977611,AUTOMOVIL,MERCEDES BENZ
312,20988952,AUTOMOVIL,JAC
313,21014133,AUTOMOVIL,PORSCHE
314,20972962,AUTOMOVIL,PORSCHE
315,21031324,AUTOMOVIL,BMW
316,21024271,BUS,MERCEDES BENZ
317,20977521,BUS,MERCEDES BENZ
318,21021606,BUS,MERCEDES BENZ
319,20996691,FURGON,BRILLIANCE
320,21003746,AUTOMOVIL,BMW
321,20973590,AUTOMOVIL,BMW
322,21017509,AUTOMOVIL,BMW
323,20996776,FURGON,CITROEN
324,21010889,FURGON,CITROEN
325,21012250,FURGON,CITROEN
326,21005759,FURGON,CITROEN
327,20968772,FURGON,PEUGEOT
328,21009341,FURGON,PEUGEOT
329,21018234,AUTOMOVIL,LAND ROVER
330,20946589,AUTOMOVIL,LAND ROVER
331,21006456,AUTOMOVIL,HYUNDAI
332,20987659,AUTOMOVIL,BMW
333,21004597,AUTOMOVIL,BMW
334,20994261,AUTOMOVIL,BMW
335,21023128,AUTOMOVIL,BMW
336,20962047,AUTOMOVIL,BMW
337,21008909,AUTOMOVIL,BMW
338,21025995,AUTOMOVIL,BMW
339,20965071,AUTOMOVIL,BMW
340,20953574,AUTOMOVIL,BMW
341,20974834,AUTOMOVIL,BMW
342,20971231,AUTOMOVIL,BMW
343,20946309,AUTOMOVIL,BMW
344,21029606,AUTOMOVIL,BMW
345,20956406,AUTOMOVIL,BMW
346,20971878,AUTOMOVIL,BMW
347,21020394,AUTOMOVIL,BMW
348,20996299,AUTOMOVIL,BMW
349,20973026,AUTOMOVIL,BMW
350,21029816,AUTOMOVIL,BMW
351,20970360,AUTOMOVIL,BMW
352,21024294,AUTOMOVIL,BMW
353,20958120,AUTOMOVIL,BMW
354,20946058,AUTOMOVIL,BMW
355,21030322,AUTOMOVIL,BMW
356,21002607,AUTOMOVIL,BMW
357,20990519,AUTOMOVIL,BMW
358,21004054,AUTOMOVIL,BMW
359,21029639,AUTOMOVIL,BMW
360,20987197,AUTOMOVIL,BMW
361,21007995,AUTOMOVIL,BMW
362,20984609,AUTOMOVIL,BMW
363,20974093,AUTOMOVIL,BMW
364,21013009,AUTOMOVIL,BMW
365,21001367,AUTOMOVIL,BMW
366,20997625,AUTOMOVIL,BMW
367,21006346,AUTOMOVIL,BMW
368,21023650,AUTOMOVIL,NISSAN
369,20999860,AUTOMOVIL,NISSAN
370,20953477,AUTOMOVIL,BMW
371,20981152,AUTOMOVIL,BMW
372,21020617,AUTOMOVIL,BMW
373,21028929,AUTOMOVIL,BMW
374,20972109,AUTOMOVIL,BMW
375,20985312,AUTOMOVIL,BMW
376,20965823,AUTOMOVIL,BMW
377,20953436,AUTOMOVIL,BMW
378,21020896,AUTOMOVIL,BMW
379,20995202,AUTOMOVIL,BMW
380,20994605,AUTOMOVIL,BMW
381,20975828,AUTOMOVIL,BMW
382,20979943,AUTOMOVIL,BMW
383,20981565,AUTOMOVIL,BMW
384,20973303,AUTOMOVIL,BMW
385,20969005,AUTOMOVIL,BMW
386,20954257,AUTOMOVIL,BMW
387,20950573,AUTOMOVIL,BMW
388,21007827,AUTOMOVIL,BMW
389,20962195,AUTOMOVIL,BMW
390,21001303,AUTOMOVIL,BMW
391,20999735,AUTOMOVIL,BMW
392,20994056,AUTOMOVIL,BMW
393,20962606,AUTOMOVIL,BMW
394,21025280,AUTOMOVIL,BMW
395,21000656,AUTOMOVIL,BMW
396,21024556,AUTOMOVIL,BMW
397,21023349,AUTOMOVIL,BMW
398,20983692,AUTOMOVIL,BMW
399,21000699,AUTOMOVIL,BMW
400,20989383,AUTOMOVIL,BMW
401,21028339,AUTOMOVIL,BMW
